Datetime,Ticker,Adj Close
2024-02-28 00:00:00+00:00,BTC-USD,57012.14453125
2024-02-28 01:00:00+00:00,BTC-USD,56817.46875
2024-02-28 02:00:00+00:00,BTC-USD,56952.92578125
2024-02-28 03:00:00+00:00,BTC-USD,56956.53125
2024-02-28 04:00:00+00:00,BTC-USD,57227.40625
2024-02-28 05:00:00+00:00,BTC-USD,57096.34375
2024-02-28 06:00:00+00:00,BTC-USD,57203.703125
2024-02-28 07:00:00+00:00,BTC-USD,58223.046875
2024-02-28 08:00:00+00:00,BTC-USD,59352.5703125
2024-02-28 09:00:00+00:00,BTC-USD,59266.60546875
2024-02-28 10:00:00+00:00,BTC-USD,59284.90234375
2024-02-28 11:00:00+00:00,BTC-USD,59038.8125
2024-02-28 12:00:00+00:00,BTC-USD,59347.33984375
2024-02-28 13:00:00+00:00,BTC-USD,60544.22265625
2024-02-28 14:00:00+00:00,BTC-USD,61146.53125
2024-02-28 15:00:00+00:00,BTC-USD,60961.44140625
2024-02-28 16:00:00+00:00,BTC-USD,62513.48828125
2024-02-28 17:00:00+00:00,BTC-USD,61387.96484375
2024-02-28 18:00:00+00:00,BTC-USD,61200.0625
2024-02-28 19:00:00+00:00,BTC-USD,61013.68359375
2024-02-28 20:00:00+00:00,BTC-USD,60384.125
2024-02-28 21:00:00+00:00,BTC-USD,60506.9453125
2024-02-28 22:00:00+00:00,BTC-USD,61285.59765625
2024-02-28 23:00:00+00:00,BTC-USD,62492.953125
2024-02-29 00:00:00+00:00,BTC-USD,61288.75390625
2024-02-29 01:00:00+00:00,BTC-USD,61353.40234375
2024-02-29 02:00:00+00:00,BTC-USD,61705.03515625
2024-02-29 03:00:00+00:00,BTC-USD,61528.21484375
2024-02-29 04:00:00+00:00,BTC-USD,62514.47265625
2024-02-29 05:00:00+00:00,BTC-USD,62583.6796875
2024-02-29 06:00:00+00:00,BTC-USD,62943.0234375
2024-02-29 07:00:00+00:00,BTC-USD,62680.1953125
2024-02-29 08:00:00+00:00,BTC-USD,62816.9609375
2024-02-29 09:00:00+00:00,BTC-USD,62738.08984375
2024-02-29 10:00:00+00:00,BTC-USD,62683.20703125
2024-02-29 11:00:00+00:00,BTC-USD,62945.6328125
2024-02-29 12:00:00+00:00,BTC-USD,62648.640625
2024-02-29 13:00:00+00:00,BTC-USD,62976.44140625
2024-02-29 14:00:00+00:00,BTC-USD,62930.42578125
2024-02-29 15:00:00+00:00,BTC-USD,62829.76953125
2024-02-29 16:00:00+00:00,BTC-USD,62275.6796875
2024-02-29 17:00:00+00:00,BTC-USD,61053.1875
2024-02-29 18:00:00+00:00,BTC-USD,60828.640625
2024-02-29 19:00:00+00:00,BTC-USD,61568.13671875
2024-02-29 20:00:00+00:00,BTC-USD,62167.9921875
2024-02-29 21:00:00+00:00,BTC-USD,61410.15234375
2024-02-29 22:00:00+00:00,BTC-USD,61250.078125
2024-02-29 23:00:00+00:00,BTC-USD,61297.05859375
2024-03-01 00:00:00+00:00,BTC-USD,61513.88671875
2024-03-01 01:00:00+00:00,BTC-USD,61195.4921875
2024-03-01 02:00:00+00:00,BTC-USD,60989.578125
2024-03-01 03:00:00+00:00,BTC-USD,61129.2890625
2024-03-01 04:00:00+00:00,BTC-USD,61477.578125
2024-03-01 05:00:00+00:00,BTC-USD,61308.34375
2024-03-01 06:00:00+00:00,BTC-USD,61540.96484375
2024-03-01 07:00:00+00:00,BTC-USD,61470.8828125
2024-03-01 08:00:00+00:00,BTC-USD,61944.65234375
2024-03-01 09:00:00+00:00,BTC-USD,62186.4140625
2024-03-01 10:00:00+00:00,BTC-USD,62045.984375
2024-03-01 11:00:00+00:00,BTC-USD,61885.74609375
